X1,X2,X3,Y
4.6,70,3.03,15334
4.7,67,3.03,15798
5.0,67,3.03,15706
5.1,69,3.03,15145
5.2,69,3.03,15133
5.1,69,3.03,15160
5.0,69,3.03,15269
4.7,70,3.03,15104
4.5,70,3.03,15226
4.4,70,3.03,15265
4.3,70,3.03,15347
4.1,70,3.03,15464
4.0,68,3.03,15852
3.9,70,3.03,15641
3.7,68,3.03,16264
3.5,67,3.03,16514
3.2,67,3.03,16624
2.9,68,3.03,16566
2.7,68,3.03,16564
2.5,68,3.03,16675
2.4,69,3.03,16588
2.3,69,3.03,16689
2.3,70,3.03,16514
2.3,70,3.03,16448
2.3,69,3.03,16526
2.5,70,3.03,16450
2.7,69,3.03,16496
2.8,69,3.03,16415
2.9,69,3.03,16356
3.1,68,3.03,16352
3.1,68,3.03,16371
3.0,68,3.03,16333
2.9,69,3.03,16342
2.9,69,3.03,16346
2.8,69,3.03,16311
2.8,70,3.03,16236
2.7,69,3.03,16457
2.5,68,3.03,16614
2.5,68,3.03,16618
2.5,70,3.03,16327
2.5,70,3.03,16252
2.5,70,3.03,16248
2.5,70,3.03,16208
2.5,71,3.03,16134
2.4,70,3.03,16221
2.6,70,3.03,16224
2.6,70,3.03,16287
2.9,69,3.03,16398
3.3,68,3.03,16184
3.6,70,3.03,15672
3.9,70,3.03,15561
4.2,71,3.03,15224
4.6,70,3.03,15188
4.7,69,3.03,15352
4.9,68,3.03,15411
5.1,67,3.03,15640
5.4,65,3.03,16018
5.5,65,3.03,15842
5.7,66,3.03,15723
5.9,65,3.03,15760
6.1,65,3.03,15660
6.2,65,3.03,15579
6.4,64,3.03,15632
6.5,65,3.03,15441
6.6,65,3.03,15378
6.8,65,3.03,15410
6.9,64,3.03,15396
7.0,63,3.03,15689
7.1,63,3.03,15609
7.2,63,3.03,15682
7.4,63,3.03,15546
7.6,62,3.03,15650
7.8,61,3.03,15799
8.0,61,3.03,15748
8.5,60,3.03,15708
8.7,61,3.03,15397
8.7,61,3.03,15400
9.0,61,3.03,15414
8.9,61,3.03,15439
8.8,60,3.03,15645
8.6,60,3.03,15696
8.4,60,3.03,15719
8.1,61,3.03,15738
7.9,61,3.03,15764
7.7,62,3.03,15535
7.4,63,3.03,15524
7.2,64,3.03,15468
7.0,64,3.03,15470
6.5,65,3.03,15447
6.2,64,3.03,15904
5.9,64,3.03,15891
5.6,65,3.03,15860
5.4,65,3.03,15892
5.2,66,3.03,15906
5.2,66,3.03,15938
5.2,66,3.03,15875
5.3,65,3.03,16008
5.4,64,3.03,16142
5.2,65,3.03,16126
5.3,66,3.03,15937
5.1,65,3.03,16012
5.0,67,3.03,15732
4.9,67,3.03,15805
4.5,68,3.03,15795
4.3,68,3.03,15869
4.1,68,3.03,15876
4.0,68,3.03,15844
4.0,69,3.03,15792
3.9,69,3.03,15794
3.9,69,3.03,15768
3.8,69,3.03,15828
3.6,70,3.03,15784
3.5,70,3.03,15772
3.4,70,3.03,15801
3.2,70,3.03,15873
3.1,70,3.03,15916
2.9,70,3.03,15945
2.8,71,3.03,15954
2.8,71,3.03,15978
3.0,70,3.03,15948
3.2,70,3.03,15936
3.4,70,3.03,15854
3.4,70,3.03,15878
3.4,70,3.03,15858
3.4,70,3.03,15826
3.4,70,3.03,15904
3.3,70,3.03,15928
3.2,69,3.03,16101
3.1,69,3.03,16280
3.0,69,3.03,16265
2.9,68,3.03,16404
2.8,69,3.03,16343
2.8,69,3.03,16300
2.7,69,3.03,16277
2.6,70,3.03,16272
2.5,70,3.03,16247
2.5,70,3.03,16253
2.5,70,3.03,16262
2.4,70,3.03,16294
2.3,70,3.03,16312
2.2,71,3.03,16254
2.1,71,3.03,16294
2.1,71,3.03,16290
2.2,71,3.03,16294
2.6,70,3.03,16212
2.9,70,3.03,16213
3.3,68,3.03,16297
3.7,67,3.03,16248
3.7,67,3.03,16324
3.8,67,3.03,16322
3.8,67,3.03,16325
3.7,67,3.03,16412
3.5,68,3.03,16350
3.2,69,3.03,16238
2.9,69,3.03,16284
2.7,70,3.03,16278
2.4,70,3.03,16267
2.1,71,3.03,16225
1.9,72,3.03,16303
1.6,72,3.03,16298
1.3,73,3.03,16290
1.0,74,3.03,16321
0.9,74,3.03,16330
0.9,74,3.03,16322
0.8,74,3.03,16259
0.9,74,3.03,16205
1.0,74,3.03,16211
1.2,74,3.03,16106
1.5,74,3.03,16058
1.7,73,3.03,16010
2.1,72,3.03,15975
2.4,72,3.03,15828
2.9,74,3.03,15224
3.0,73,3.03,15297
2.9,72,3.03,15518
2.8,72,3.03,15563
2.8,72,3.03,15631
2.7,73,3.03,15630
2.6,73,3.03,15669
2.5,73,3.03,15584
2.4,74,3.03,15518
2.3,74,3.03,15598
2.1,74,3.03,15662
2.0,74,3.03,15705
1.9,74,3.03,15750
1.9,72,3.03,16063
1.8,73,3.03,15951
1.7,74,3.03,15840
1.6,74,3.03,15891
1.6,75,3.03,15767
1.7,74,3.03,15711
2.3,73,3.03,15725
3.1,71,3.03,15718
4.0,70,3.03,15542
4.8,68,3.03,15486
5.2,68,3.03,15554
5.6,67,3.03,15417
5.8,68,3.03,15200
5.6,68,3.03,15276
5.4,68,3.03,15294
5.3,68,3.03,15315
5.1,68,3.03,15372
5.0,69,3.03,15204
4.7,70,3.03,15222
4.4,69,3.03,15529
4.1,70,3.03,15503
3.8,71,3.03,15442
3.3,71,3.03,15726
3.2,71,3.03,15764
3.0,71,3.03,15892
2.9,70,3.03,15966
2.7,72,3.03,15776
2.4,72,3.03,16010
2.2,71,3.03,16246
2.5,70,3.03,16216
2.9,70,3.03,16195
3.5,68,3.03,16151
4.0,67,3.03,16204
4.6,66,3.03,16150
5.3,64,3.03,16147
5.7,64,3.03,16114
5.8,63,3.03,16172
5.8,64,3.03,16154
5.6,63,3.03,16411
5.4,64,3.03,16329
5.2,64,3.03,16310
4.9,64,3.03,16453
4.5,65,3.03,16449
4.1,66,3.03,16467
3.8,66,3.03,16443
3.4,68,3.03,16366
3.1,68,3.03,16377
2.8,69,3.03,16423
2.5,69,3.03,16498
2.2,70,3.03,16622
2.0,70,3.03,16602
1.7,71,3.03,16525
1.6,71,3.03,16494
1.8,71,3.03,16440
2.4,70,3.03,16302
3.4,68,3.03,16267
4.5,65,3.03,16441
5.5,64,3.03,16239
5.7,64,3.03,16181
6.2,63,3.03,16071
6.2,63,3.03,15986
6.0,62,3.03,16315
5.6,62,3.03,16599
5.2,63,3.03,16640
4.8,64,3.03,16645
4.5,64,3.03,16672
4.2,65,3.03,16663
3.8,66,3.03,16624
3.4,66,3.03,16644
3.1,67,3.03,16710
2.9,68,3.03,16641
2.7,68,3.03,16625
2.7,68,3.03,16634
2.6,68,3.03,16663
2.5,68,3.03,16660
2.4,68,3.03,16703
2.5,68,3.03,16692
2.4,69,3.03,16564
2.5,68,3.03,16578
2.9,68,3.03,16602
3.4,67,3.03,16535
3.7,67,3.03,16435
4.3,65,3.03,16496
4.5,65,3.03,16405
4.6,65,3.03,16484
4.5,65,3.03,16534
4.5,64,3.03,16620
4.3,65,3.03,16600
4.1,65,3.03,16581
4.0,66,3.03,16602
3.9,65,3.03,16694
3.7,66,3.03,16607
3.5,66,3.03,16729
3.4,66,3.03,16718
3.2,67,3.03,16680
3.1,67,3.03,16710
3.0,67,3.03,16755
2.7,68,3.03,16683
2.5,68,3.03,16698
2.3,69,3.03,16688
2.1,69,3.03,16802
1.9,69,3.03,16828
2.0,69,3.03,16882
2.3,69,3.03,16680
2.9,68,3.03,16630
3.2,67,3.03,16600
3.5,67,3.03,16572
3.3,67,3.03,16536
2.8,68,3.03,16559
2.3,69,3.03,16622
1.5,71,3.03,16642
0.8,72,3.03,16831
0.2,73,3.03,16898
0.2,74,3.03,16731
-0.4,75,3.03,16824
-0.7,76,3.03,16683
-0.6,77,3.03,16504
-0.7,78,3.03,16416
-0.8,77,3.03,16589
-1.1,77,3.03,16896
-1.3,75,3.03,17378
-1.4,74,3.03,17615
-1.4,75,3.03,17538
-1.4,75,3.03,17368
-1.2,75,3.03,17360
-1.3,73,3.03,17807
-0.9,72,3.03,18050
-0.3,70,3.03,18070
0.2,68,3.03,18131
0.8,66,3.03,18346
1.6,65,3.03,18084
1.9,65,3.03,18032
1.8,64,3.03,18109
1.2,66,3.03,18213
0.8,66,3.03,18558
0.5,66,3.03,18581
-0.1,67,3.03,18672
-0.6,67,3.03,18818
-0.9,69,3.03,18592
-1.1,70,3.03,18492
-1.4,70,3.03,18716
-1.5,71,3.03,18576
-1.5,71,3.03,18565
-1.4,72,3.03,18133
-1.3,74,3.03,17580
-1.4,73,3.03,18056
-1.4,69,3.03,18997
-1.4,68,3.03,19114
-1.4,69,3.03,19139
-1.4,68,3.03,19294
-1.2,68,3.03,19229
-1.2,68,3.03,19159
-0.9,66,3.03,19647
-0.8,66,3.03,19594
-0.3,64,3.03,19597
0.4,60,3.03,20524
0.7,58,3.06,20908
0.2,60,3.03,20412
-0.2,61,3.03,20515
-0.4,62,3.03,20519
-1.0,63,3.03,20652
-1.1,62,3.03,20762
-1.2,63,3.03,20685
-1.0,62,3.03,20704
-1.0,62,3.03,20768
-1.0,62,3.03,20870
-1.0,62,3.03,20838
-1.0,62,3.03,20868
-1.0,63,3.03,20616
-1.1,63,3.03,20478
-1.2,64,3.03,20518
-1.4,63,3.03,20706
-1.5,63,3.03,20956
-1.4,62,3.03,20994
-0.8,61,3.03,20988
0.0,60,3.03,20885
1.0,57,3.06,21018
1.5,57,3.06,20903
1.5,56,3.06,20964
1.2,56,3.06,21050
1.0,57,3.06,21046
0.8,58,3.06,20894
0.5,59,3.03,20597
0.1,60,3.03,20790
-0.3,62,3.03,20530
-0.7,62,3.03,20544
-1.2,64,3.03,20452
-1.6,64,3.03,20522
-1.6,68,3.03,19516
-1.5,72,3.03,18310
-1.5,74,3.03,17774
-1.5,73,3.03,17988
-1.5,73,3.03,18134
-1.5,73,3.03,18124
-1.5,72,3.03,18227
-1.5,72,3.03,18312
-1.5,72,3.03,18377
-1.5,70,3.03,18625
-1.5,70,3.03,18681
-1.5,70,3.03,18952
-1.2,64,3.03,20158
-0.9,62,3.03,20662
-0.3,62,3.03,20373
-0.8,63,3.03,20307
-0.2,62,3.03,20142
-0.5,63,3.03,20241
-0.9,64,3.03,20130
-0.9,64,3.03,20176
-1.0,64,3.03,20239
-0.9,63,3.03,20360
-0.8,63,3.03,20450
-1.0,62,3.03,20547
-1.0,62,3.03,20897
-1.1,62,3.03,20730
-1.2,63,3.03,20678
-1.2,62,3.03,20889
-1.3,62,3.03,20986
-1.2,62,3.03,21069
-1.3,62,3.06,21174
-1.3,61,3.06,21195
-1.2,61,3.06,21308
-0.9,60,3.06,21316
-0.3,60,3.06,21211
0.5,57,3.06,21374
1.4,56,3.06,21327
2.6,54,3.06,20981
3.7,52,3.06,21282
4.6,47,3.06,22776
4.2,48,3.06,22500
2.7,50,3.06,22782
1.9,50,3.06,23263
1.6,50,3.06,23702
1.3,50,3.06,23732
0.7,51,3.06,23804
1.1,49,3.06,24222
0.9,49,3.06,24453
0.4,50,3.06,24555
-0.1,51,3.06,24281
-0.4,51,3.06,24794
-0.7,51,3.06,25002
-1.1,52,3.06,25038
-1.3,52,3.06,25064
-1.3,52,3.06,25034
-1.3,52,3.06,24876
-1.2,52,3.06,24968
-0.4,51,3.06,24827
0.6,49,3.06,24669
1.8,49,3.06,23957
2.3,50,3.06,23013
2.3,48,3.06,23912
4.4,45,3.06,23915
5.1,43,3.06,24440
3.9,42,3.06,25895
3.9,43,3.06,25180
4.4,43,3.06,24928
3.1,46,3.06,24531
2.7,46,3.06,24782
2.2,46,3.06,24700
1.8,47,3.06,24900
1.0,49,3.06,24437
-0.3,51,3.06,24768
0.1,50,3.06,24752
-0.1,50,3.06,24760
-0.4,51,3.06,24661
-1.0,52,3.06,24802
-1.0,52,3.06,24880
-1.2,52,3.06,24985
-1.1,53,3.06,24648
-0.9,52,3.06,24649
-0.5,51,3.06,24770
-0.1,51,3.06,24422
0.8,50,3.06,24454
2.1,48,3.06,24313
3.6,45,3.06,24364
4.1,45,3.06,24174
4.0,44,3.06,24966
3.8,45,3.06,24476
3.5,46,3.06,23972
3.5,46,3.06,24096
3.4,45,3.06,24374
3.1,46,3.06,24466
3.0,46,3.06,24560
2.6,46,3.06,24804
2.1,47,3.06,24687
1.7,48,3.06,24761
1.5,48,3.06,24812
1.1,48,3.06,24862
0.7,48,3.06,25197
0.4,49,3.06,25169
0.1,50,3.06,25093
-0.2,50,3.06,25138
-0.5,50,3.06,25304
-0.6,50,3.06,25285
-0.1,50,3.06,25188
0.9,48,3.06,25141
1.9,48,3.06,24384
3.3,47,3.06,23779
4.5,46,3.06,23229
5.6,45,3.06,23134
6.2,44,3.06,22981
6.0,43,3.06,24021
5.6,42,3.06,24167
5.3,42,3.06,24618
4.7,43,3.06,24564
4.2,44,3.06,24503
3.8,44,3.06,24471
3.0,46,3.06,24661
2.5,46,3.06,24789
2.1,46,3.06,24830
1.6,48,3.06,24778
1.2,48,3.06,24759
1.1,48,3.06,24836
1.0,48,3.06,24950
0.7,48,3.06,24865
0.7,48,3.06,25006
1.4,48,3.06,24999
1.2,47,3.06,25233
1.5,47,3.06,25188
